Tip localitate,LOCALITATE,JUDET,Ani,CUI,CAEN,ACTIVE IMOBILIZATE-TOTAL,ACTIVE CIRCULANTE-TOTAL,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI-TOTAL,Capital subscris varsat,Patromoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profit brut,Pierdere bruta,Profit net,Pierdere neta,Numar mediu de salariati,DENUMIRE,COD_INMATRICULARE,ADRESA COMPLETA
Sat,Baciu,Cluj,01.01.2018,33508340,5610,200,,,,,,0,,,200,200,,0,0,0,0,0,0,0,,ARNAUD ROTISSERIE FRANCAISE S.R.L.,J12/2482/2014,"Sat Baciu, Comuna Baciu, Str. PLANETELOR, Nr. 44, Județ Cluj,,,,,,,,,,,,,,,,"
Sat,Baciu,Cluj,01.01.2016,33508340,5610,73696,24870,18620,5463,787,,110652,,,-12086,200,,31506,31506,35339,0,3833,0,3995,3,ARNAUD ROTISSERIE FRANCAISE S.R.L.,J12/2482/2014,"Sat Baciu, Comuna Baciu, Str. PLANETELOR, Nr. 44, Județ Cluj,,,,,,,,,,,,,,,,"
Sat,Baciu,Cluj,01.01.2017,33508340,5610,64002,24107,2420,4488,17199,,110689,,,-22580,200,,15493,15493,25894,0,10401,0,10494,0,ARNAUD ROTISSERIE FRANCAISE S.R.L.,J12/2482/2014,"Sat Baciu, Comuna Baciu, Str. PLANETELOR, Nr. 44, Județ Cluj,,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2018,32597587,5630,,129,,,129,,172947,,,-172818,200,,247015,247070,282580,0,35510,0,39888,0,BORSMENTA SRL,J12/3652/2013,"Municipiul Cluj-Napoca, Str. ALEXANDRU VAIDA VOEVOD, Nr. 14, Apartament 35, Județ Cluj,,,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2019,32597587,5630,,23079,16218,809,6052,,251851,,,-228772,200,,202611,202611,254520,0,51909,0,55953,6,BORSMENTA SRL,J12/3652/2013,"Municipiul Cluj-Napoca, Str. ALEXANDRU VAIDA VOEVOD, Nr. 14, Apartament 35, Județ Cluj,,,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2016,32597587,5630,,7003,4064,2880,59,,106013,,,-99010,200,,75569,75583,83715,0,8132,0,9993,0,BORSMENTA SRL,J12/3652/2013,"Municipiul Cluj-Napoca, Str. ALEXANDRU VAIDA VOEVOD, Nr. 14, Apartament 35, Județ Cluj,,,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2017,32597587,5630,,96,0,0,96,,133026,,,-132930,200,,190518,190518,221128,0,30610,0,33921,9,BORSMENTA SRL,J12/3652/2013,"Municipiul Cluj-Napoca, Str. ALEXANDRU VAIDA VOEVOD, Nr. 14, Apartament 35, Județ Cluj,,,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2016,33258384,5610,,2220,20,,2200,,20,,,2200,200,,0,0,,0,0,0,0,,OANISD SRL-D,J12/1885/2014,"Municipiul Cluj-Napoca, Calea FLOREŞTI, Nr. 4, Bloc B1, Scara 1, Etaj 5, Apartament 21, Județ Cluj,,,,,,,,,,,,,"
Municipiul,Dej,Cluj,01.01.2018,32460627,5610,16059,45137,21852,13227,10058,,124238,,,-63042,40000,,286190,286190,383125,0,96935,0,99661,9,GELISSIM  SRL,J12/3348/2013,"Municipiul Dej, Str. AVRAM IANCU, Nr. 24, Județ Cluj,,,,,,,,,,,,,,,,,,"
Municipiul,Dej,Cluj,01.01.2019,32460627,5610,16059,66557,19693,41210,5654,,232162,,,-149546,40000,,297653,297653,380768,0,83115,0,86504,8,GELISSIM  SRL,J12/3348/2013,"Municipiul Dej, Str. AVRAM IANCU, Nr. 24, Județ Cluj,,,,,,,,,,,,,,,,,,"
Municipiul,Dej,Cluj,01.01.2016,32460627,5610,16059,55181,27716,9991,17474,,42504,,,28736,40000,,301527,301527,295173,6354,0,2816,0,10,GELISSIM  SRL,J12/3348/2013,"Municipiul Dej, Str. AVRAM IANCU, Nr. 24, Județ Cluj,,,,,,,,,,,,,,,,,,"
Municipiul,Dej,Cluj,01.01.2017,32460627,5610,16059,35169,21508,11523,2138,50000,64609,,,36619,40000,,432879,432879,420667,12212,0,7883,0,,GELISSIM  SRL,J12/3348/2013,"Municipiul Dej, Str. AVRAM IANCU, Nr. 24, Județ Cluj,,,,,,,,,,,,,,,,,,"
Municipiul,Dej,Cluj,01.01.2018,34393222,5630,18499,55154,10223,,44931,,160439,,,-86786,200,,299957,303533,337398,0,33865,0,36900,10,NONO PUB S.R.L.,J12/1184/2015,"Municipiul Dej, Str. MIHAIL EMINESCU, Nr. 3, Județ Cluj,,,,,,,,,,,,,,,,,,"
Municipiul,Dej,Cluj,01.01.2019,34393222,5630,12616,44510,39872,,4638,,236066,,,-178940,200,,264056,269113,358626,0,89513,0,92154,7,NONO PUB S.R.L.,J12/1184/2015,"Municipiul Dej, Str. MIHAIL EMINESCU, Nr. 3, Județ Cluj,,,,,,,,,,,,,,,,,,"
Municipiul,Dej,Cluj,01.01.2016,34393222,5630,,172434,12770,152697,6967,,30719,110000,,31715,200,,212899,223703,245689,0,21986,0,26323,,NONO PUB S.R.L.,J12/1184/2015,"Municipiul Dej, Str. MIHAIL EMINESCU, Nr. 3, Județ Cluj,,,,,,,,,,,,,,,,,,"
Municipiul,Dej,Cluj,01.01.2017,34393222,5630,,21450,18394,853,2203,,71336,,,-49886,200,,326346,333697,411252,0,77555,0,81601,5,NONO PUB S.R.L.,J12/1184/2015,"Municipiul Dej, Str. MIHAIL EMINESCU, Nr. 3, Județ Cluj,,,,,,,,,,,,,,,,,,"
Sat,Iuriu,Cluj,01.01.2016,34164067,5630,193635,2465,,,2465,,91661,,,104439,200,,105000,105000,94152,10848,0,7698,0,3,ADALBERT PRODUCTION SRL-D,J12/581/2015,"Sat Iuriu de Câmpie, Comuna Cojocna, Str. AVRAM IANCU, Nr. 10A, Județ Cluj,,,,,,,,,,,,,,,,"
Sat,Iuriu,Cluj,01.01.2017,34164067,5630,168674,588,,,588,,215052,,,-45790,200,,0,0,150229,0,150229,0,150229,6,ADALBERT PRODUCTION SRL-D,J12/581/2015,"Sat Iuriu de Câmpie, Comuna Cojocna, Str. AVRAM IANCU, Nr. 10A, Județ Cluj,,,,,,,,,,,,,,,,"
Sat,Urisor,Cluj,01.01.2019,32906224,5630,482,27867,23976,,3891,,64242,,,-35893,200,,0,0,,0,0,0,0,,DUO VLASER SRL,J12/886/2014,"Sat Urisor, Comuna Caseiu, Nr. 77, Județ Cluj,,,,,,,,,,,,,,,,,,"
Sat,Urisor,Cluj,01.01.2016,32906224,5630,482,27867,23976,,3891,,64242,,,-35893,200,,0,0,,0,0,0,0,,DUO VLASER SRL,J12/886/2014,"Sat Urisor, Comuna Caseiu, Nr. 77, Județ Cluj,,,,,,,,,,,,,,,,,,"
Sat,Urisor,Cluj,01.01.2017,32906224,5630,482,27867,23976,,3891,,64242,,,-35893,200,,0,0,,0,0,0,0,,DUO VLASER SRL,J12/886/2014,"Sat Urisor, Comuna Caseiu, Nr. 77, Județ Cluj,,,,,,,,,,,,,,,,,,"
Municipiul,Turda,Cluj,01.01.2016,36352377,5629,,18241,2145,7118,8978,,10863,,,7378,200,,107276,107276,99026,8250,0,7178,0,5,DRANKA BOD SRL,J12/2820/2016,"Municipiul Turda, Str. LIBERTĂŢII, Nr. 7, Scara C, Etaj 2, Apartament 25, Județ Cluj,,,,,,,,,,,,,,,"
Municipiul,Turda,Cluj,01.01.2017,36352377,5629,3741,124688,41443,80535,2710,,50895,,,77534,200,,594619,594619,511373,83246,0,77294,0,6,DRANKA BOD SRL,J12/2820/2016,"Municipiul Turda, Str. LIBERTĂŢII, Nr. 7, Scara C, Etaj 2, Apartament 25, Județ Cluj,,,,,,,,,,,,,,,"
Sat,Tăuţi,Cluj,01.01.2018,35823506,5621,,22282,,11435,10847,,0,,,22282,200,,22145,22145,63,22082,0,22082,0,,DEWEEKEND CONCEPT SRL-D,J12/1158/2016,"Sat Tăuţi, Comuna Floreşti, Nr. 2C, Județ Cluj,,,,,,,,,,,,,,,,,"
